METHOD	ROUTE	FILE:LINE	HANDLER	PERMISSIONS	GUARDS	PUBLIC
POST	/api/v1/me/biometric-submission	src/modules/accounts/controllers/biometric-submission.controller.ts:89	submitBiometric	profile.biometric.submit	JwtAuthGuard,PermissionsGuard	
GET	/api/v1/me/schedule	src/modules/meetings/controllers/meetings.controller.ts:837	getMySchedule	schedule.read.self	JwtAuthGuard,PermissionsGuard	
GET	/api/v1/me/schedule/:meetingId	src/modules/meetings/controllers/meetings.controller.ts:866	getMyScheduleDetail	schedule.read.self	JwtAuthGuard,PermissionsGuard	
GET	/api/v1/media-files/:fileId	src/modules/recording/controllers/media-files.controller.ts:53	detail	recording.files.read	JwtAuthGuard,PermissionsGuard	
GET	/api/v1/media-files/:fileId/playback	src/modules/recording/controllers/media-files.controller.ts:67	playback	recording.files.play	JwtAuthGuard,PermissionsGuard	
GET	/api/v1/media-files/:fileId/secure-download	src/modules/recording/controllers/media-files.controller.ts:159	secureDownload			
PATCH	/api/v1/media-files/:fileId/visibility	src/modules/recording/controllers/media-files.controller.ts:141	setVisibility	recording.files.manage	JwtAuthGuard,PermissionsGuard	
GET	/api/v1/meeting-minutes	src/modules/minutes/controllers/minutes-list.controller.ts:63	findAll	meeting.minutes.read	JwtAuthGuard,PermissionsGuard	
DELETE	/api/v1/meeting-minutes/:id	src/modules/minutes/controllers/minutes-list.controller.ts:263	deleteDraft	meeting.minutes.delete	JwtAuthGuard,PermissionsGuard	
GET	/api/v1/meeting-minutes/:id	src/modules/minutes/controllers/minutes-list.controller.ts:177	findOne	meeting.minutes.read	JwtAuthGuard,PermissionsGuard	
PATCH	/api/v1/meeting-minutes/:id	src/modules/minutes/controllers/minutes-list.controller.ts:215	updateDraft	meeting.minutes.update	JwtAuthGuard,PermissionsGuard	
POST	/api/v1/meeting-minutes/:id/exports	src/modules/minutes/controllers/minutes-list.controller.ts:525	createExport	meeting.minutes.export	JwtAuthGuard,PermissionsGuard	
POST	/api/v1/meeting-minutes/:id/issue	src/modules/minutes/controllers/minutes-list.controller.ts:305	issue	meeting.minutes.issue	JwtAuthGuard,PermissionsGuard	
PATCH	/api/v1/meeting-minutes/:id/link-resources	src/modules/minutes/controllers/minutes-list.controller.ts:344	linkResources	meeting.minutes.link_resources	JwtAuthGuard,PermissionsGuard	
GET	/api/v1/meeting-minutes/:id/shares	src/modules/minutes/controllers/minutes-list.controller.ts:449	listMinutesShares	meeting.minutes.share.read	JwtAuthGuard,PermissionsGuard	
POST	/api/v1/meeting-minutes/:id/shares	src/modules/minutes/controllers/minutes-list.controller.ts:400	shareMinutes	meeting.minutes.share.create	JwtAuthGuard,PermissionsGuard	
DELETE	/api/v1/meeting-minutes/:id/shares/:userId	src/modules/minutes/controllers/minutes-list.controller.ts:484	unshareMinutes	meeting.minutes.share.delete	JwtAuthGuard,PermissionsGuard	
GET	/api/v1/meeting-minutes/:minutesId/attachments	src/modules/minutes/controllers/minutes-list.controller.ts:635	listAttachments	meeting.minutes.attachment.read	JwtAuthGuard,PermissionsGuard	
POST	/api/v1/meeting-minutes/:minutesId/attachments	src/modules/minutes/controllers/minutes-list.controller.ts:567	uploadAttachment	meeting.minutes.attachment.create	JwtAuthGuard,PermissionsGuard	
DELETE	/api/v1/meeting-minutes/:minutesId/attachments/:fileId	src/modules/minutes/controllers/minutes-list.controller.ts:680	deleteAttachment	meeting.minutes.attachment.delete	JwtAuthGuard,PermissionsGuard	
GET	/api/v1/meeting-minutes/search-by-person	src/modules/minutes/controllers/minutes-list.controller.ts:133	searchByPerson	meeting.minutes.search_by_person	JwtAuthGuard,PermissionsGuard	
GET	/api/v1/meeting-requests	src/modules/meetings/controllers/meeting-requests.controller.ts:21	findAll	meeting_request.read	JwtAuthGuard,PermissionsGuard|JwtAuthGuard,PermissionsGuard	
POST	/api/v1/meeting-requests/:requestId/approve	src/modules/meetings/controllers/meetings.controller.ts:747	approveMeetingRequest	meeting_request.approve	JwtAuthGuard,PermissionsGuard	
POST	/api/v1/meeting-requests/:requestId/reject	src/modules/meetings/controllers/meetings.controller.ts:792	rejectMeetingRequest	meeting_request.reject	JwtAuthGuard,PermissionsGuard	
GET	/api/v1/meetings	src/modules/meetings/controllers/meetings.controller.ts:249	listMeetings	meeting.read.all	JwtAuthGuard,PermissionsGuard	
POST	/api/v1/meetings	src/modules/meetings/controllers/meetings.controller.ts:143	createMeeting	meeting.create	JwtAuthGuard,PermissionsGuard	
GET	/api/v1/meetings/:meetingId	src/modules/meetings/controllers/meetings.controller.ts:278	getMeetingById		JwtAuthGuard	
PATCH	/api/v1/meetings/:meetingId	src/modules/meetings/controllers/meetings.controller.ts:304	updateMeeting	meeting.update.own	JwtAuthGuard,PermissionsGuard	
GET	/api/v1/meetings/:meetingId/agendas	src/modules/meetings/controllers/meetings.controller.ts:1026	getAgendas		JwtAuthGuard	
PUT	/api/v1/meetings/:meetingId/agendas	src/modules/meetings/controllers/meetings.controller.ts:1061	replaceAgendas		JwtAuthGuard	
DELETE	/api/v1/meetings/:meetingId/agendas/:agendaId	src/modules/meetings/controllers/meetings.controller.ts:1211	deleteAgendaItem		JwtAuthGuard	
PATCH	/api/v1/meetings/:meetingId/agendas/:agendaId	src/modules/meetings/controllers/meetings.controller.ts:1132	updateAgendaItem		JwtAuthGuard	
GET	/api/v1/meetings/:meetingId/attendance	src/modules/attendance/controllers/attendance.controller.ts:43	getAttendanceList	attendance.read	JwtAuthGuard|JwtAuthGuard|PermissionsGuard	
POST	/api/v1/meetings/:meetingId/attendance	src/modules/attendance/controllers/manual-attendance.controller.ts:59	create	attendance.manual.create	JwtAuthGuard,PermissionsGuard	
GET	/api/v1/meetings/:meetingId/attendance/:recordId	src/modules/attendance/controllers/attendance.controller.ts:88	getAttendanceRecordDetail	attendance.read	JwtAuthGuard|PermissionsGuard	
PATCH	/api/v1/meetings/:meetingId/attendance/:recordId	src/modules/attendance/controllers/manual-attendance.controller.ts:131	updateProfile	attendance.manual.update	JwtAuthGuard,PermissionsGuard	
POST	/api/v1/meetings/:meetingId/attendance/:recordId/invalidate	src/modules/attendance/controllers/manual-attendance.controller.ts:168	invalidate	attendance.invalidate	JwtAuthGuard,PermissionsGuard	
PATCH	/api/v1/meetings/:meetingId/attendance/:recordId/status	src/modules/attendance/controllers/manual-attendance.controller.ts:96	updateStatus	attendance.manual.update	JwtAuthGuard,PermissionsGuard	
GET	/api/v1/meetings/:meetingId/available-rooms	src/modules/meetings/controllers/meetings.controller.ts:355	getAvailableRoomsForMeeting		JwtAuthGuard	
