METHOD	PATH	FILE:LINE	FUNC	QS
PATCH	/notifications/:param/read	src/service/businessAdminServices.js:318	markNotificationRead	
PATCH	/notifications/:param/read	src/service/sysAdminServices.js:366	markNotificationRead	
PATCH	/notifications/read-all	src/service/businessAdminServices.js:327	markAllNotificationsRead	
PATCH	/notifications/read-all	src/service/sysAdminServices.js:375	markAllNotificationsRead	
GET	/permissions	src/service/permissionServices.js:35	query	QS
GET	/permissions	src/service/sysAdminServices.js:305	getPermissions	
POST	/permissions	src/service/permissionServices.js:43	createPermission	
GET	/permissions/:param	src/service/permissionServices.js:39	getPermissionById	
PATCH	/permissions/:param	src/service/permissionServices.js:47	updatePermission	
POST	/permissions/:param/toggle-active	src/service/permissionServices.js:51	togglePermissionActive	
GET	/person-control-list	src/service/personControlListService.js:13	query	QS
GET	/person-control-list	src/service/sysAdminServices.js:476	query	QS
POST	/person-control-list	src/service/personControlListService.js:30	createPersonControlRecord	
POST	/person-control-list	src/service/sysAdminServices.js:484	createPersonControl	
DELETE	/person-control-list/:param	src/service/sysAdminServices.js:492	deletePersonControl	
GET	/person-control-list/:param	src/service/personControlListService.js:21	getPersonControlRecordById	
GET	/person-control-list/:param	src/service/sysAdminServices.js:480	getPersonControlDetail	
PATCH	/person-control-list/:param	src/service/personControlListService.js:39	updatePersonControlRecord	
PATCH	/person-control-list/:param	src/service/sysAdminServices.js:488	updatePersonControl	
POST	/reports/meeting-activity/exports	src/service/businessAdminServices.js:58	exportMeetingActivity	
POST	/reports/meeting-activity/exports	src/service/managerServices.js:123	exportMeetingActivity	
POST	/reports/room-utilization/exports	src/component/ExportReportModal.jsx:78	res	
GET	/roles	src/service/businessAdminServices.js:160	getRoles	
GET	/roles	src/service/permissionServices.js:7	query	QS
GET	/roles	src/service/sysAdminServices.js:297	getRoles	
POST	/roles	src/service/permissionServices.js:15	createRole	
DELETE	/roles/:param	src/service/permissionServices.js:28	deleteRole	
GET	/roles/:param	src/service/permissionServices.js:11	getRoleById	
PATCH	/roles/:param	src/service/permissionServices.js:19	updateRole	
GET	/roles/:param/permissions	src/service/permissionServices.js:57	getRolePermissions	
POST	/roles/:param/permissions	src/service/permissionServices.js:61	assignRolePermissions	
GET	/room-bookings	src/service/sysAdminServices.js:545	query	QS
POST	/rooms	src/service/businessAdminServices.js:216	createRoom	
DELETE	/rooms/:param	src/service/businessAdminServices.js:224	deleteRoom	
PATCH	/rooms/:param	src/service/businessAdminServices.js:220	updateRoom	
GET	/rooms/:param/deletion-impact	src/service/sysAdminServices.js:528	getRoomDeletionImpact	
GET	/rooms/:param/status	src/service/sysAdminServices.js:539	getRoomStatus	
GET	/rooms/available	src/service/employeeServices.js:13	query	QS
GET	/rooms/available	src/service/employeeServices.js:23	query	QS
GET	/rooms/available	src/service/managerServices.js:240	query	QS
GET	/rooms/realtime-status	src/service/businessAdminServices.js:177	getRoomRealtimeStatus	
GET	/rooms/realtime-status	src/service/sysAdminServices.js:534	query	QS
GET	/rooms/search	src/service/businessAdminServices.js:173	query	QS
GET	/rooms/search	src/service/sysAdminServices.js:349	query	QS
POST	/scheduling/participant-conflicts/check	src/service/schedulingServices.js:19	checkParticipantConflicts	
GET	/scheduling/room-suggestions	src/service/schedulingServices.js:10	query	QS
POST	/scheduling/time-suggestions	src/service/schedulingServices.js:28	getTimeSuggestions	
GET	/search	src/service/searchService.js:14	query	QS
GET	/security-alerts	src/service/securityAlertService.js:17	query	QS
GET	/security-alerts/:param	src/service/securityAlertService.js:25	getSecurityAlertById	
POST	/security-alerts/:param/acknowledge	src/service/securityAlertService.js:33	acknowledgeSecurityAlert	
POST	/security-alerts/:param/resolve	src/service/businessAdminServices.js:212	resolveStrangerAlert	
POST	/security-alerts/:param/resolve	src/service/securityAlertService.js:42	resolveSecurityAlert	
POST	/security-alerts/bulk-acknowledge	src/service/securityAlertService.js:51	bulkAcknowledgeSecurityAlerts	
GET	/system-configurations	src/service/sysAdminServices.js:241	getSystemConfigs	
PATCH	/system-configurations	src/service/sysAdminServices.js:252	updateSystemConfig	
PATCH	/transcripts/:param/content	src/service/transcriptionServices.js:60	updateTranscriptContent	
PATCH	/transcripts/:param/segments	src/service/transcriptionServices.js:51	updateTranscriptSegment	
PATCH	/transcripts/:param/status	src/service/transcriptionServices.js:69	updateTranscriptStatus	
GET	/users	src/service/businessAdminServices.js:67	query	QS
GET	/users	src/service/employeeServices.js:32	query	QS
GET	/users	src/service/managerServices.js:248	query	QS
GET	/users	src/service/sysAdminServices.js:56	query	QS
POST	/users	src/service/businessAdminServices.js:80	createUser	
POST	/users	src/service/sysAdminServices.js:74	createUser	
GET	/users/	src/pages/shared/Profile.jsx:90	res	
DELETE	/users/:param	src/service/businessAdminServices.js:111	deleteUser	
DELETE	/users/:param	src/service/sysAdminServices.js:139	deleteUser	
GET	/users/:param	src/service/businessAdminServices.js:76	getUserById	
GET	/users/:param	src/service/employeeServices.js:84	getUserById	
GET	/users/:param	src/service/managerServices.js:148	getUserById	
GET	/users/:param	src/service/sysAdminServices.js:65	getUserById	
PATCH	/users/:param	src/service/businessAdminServices.js:84	updateUser	
PATCH	/users/:param	src/service/employeeServices.js:102	updateSelfProfile	
PATCH	/users/:param	src/service/managerServices.js:158	updateSelfProfile	
PATCH	/users/:param	src/service/sysAdminServices.js:339	updateSelfProfile	
PATCH	/users/:param	src/service/sysAdminServices.js:84	updateUser	
POST	/users/:param/face-profile	src/service/employeeServices.js:113	registerFaceProfile	
POST	/users/:param/face-profile	src/service/managerServices.js:167	registerFaceProfile	
PATCH	/users/:param/lock	src/service/businessAdminServices.js:92	lockUser	
PATCH	/users/:param/lock	src/service/sysAdminServices.js:104	lockUser	
GET	/users/:param/public-profile	src/service/employeeServices.js:92	getUserPublicProfile	
REQ	/users/:param/roles	src/service/businessAdminServices.js:88	updateUserRoles	
REQ	/users/:param/roles	src/service/sysAdminServices.js:94	updateUserRoles	
PATCH	/users/:param/status	src/service/sysAdminServices.js:130	updateUserStatus	
PATCH	/users/:param/unlock	src/service/businessAdminServices.js:105	unlockUser	
PATCH	/users/:param/unlock	src/service/sysAdminServices.js:118	unlockUser	
GET	/users/export	src/service/businessAdminServices.js:137	query	QS
GET	/users/export	src/service/sysAdminServices.js:328	query	QS
POST	/users/import	src/service/businessAdminServices.js:128	importUsers	
POST	/users/import	src/service/sysAdminServices.js:161	importUsers	
GET	/users/import/template	src/service/businessAdminServices.js:132	getImportTemplate	
GET	/users/import/template	src/service/sysAdminServices.js:169	getImportTemplate	
GET	/users/manage	src/service/businessAdminServices.js:72	query	QS
GET	/zones	src/service/zoneServices.js:10	query	QS
POST	/zones	src/service/zoneServices.js:28	createZone	
DELETE	/zones/:param	src/service/zoneServices.js:47	deleteZone	
GET	/zones/:param	src/service/zoneServices.js:19	getZoneById	
PATCH	/zones/:param	src/service/zoneServices.js:38	updateZone	
PATCH	/zones/:param/devices	src/service/zoneServices.js:57	assignDeviceToZone	
DELETE	/zones/:param/devices/:param	src/service/zoneServices.js:67	removeDeviceFromZone	
